name;frameTime;F0final_sma;F0final_sma_de;audspec_lengthL1norm_sma;audspec_lengthL1norm_sma_de;jitterDDP_sma;jitterDDP_sma_de;jitterLocal_sma;jitterLocal_sma_de;logHNR_sma;logHNR_sma_de;pcm_fftMag_fband1000-4000_sma;pcm_fftMag_fband1000-4000_sma_de;pcm_fftMag_fband250-650_sma;pcm_fftMag_fband250-650_sma_de;pcm_fftMag_mfcc_sma[10];pcm_fftMag_mfcc_sma[11];pcm_fftMag_mfcc_sma[12];pcm_fftMag_mfcc_sma[13];pcm_fftMag_mfcc_sma[14];pcm_fftMag_mfcc_sma[15];pcm_fftMag_mfcc_sma[16];pcm_fftMag_mfcc_sma[1];pcm_fftMag_mfcc_sma[2];pcm_fftMag_mfcc_sma[3];pcm_fftMag_mfcc_sma[4];pcm_fftMag_mfcc_sma[5];pcm_fftMag_mfcc_sma[6];pcm_fftMag_mfcc_sma[7];pcm_fftMag_mfcc_sma[8];pcm_fftMag_mfcc_sma[9];pcm_fftMag_mfcc_sma_de[10];pcm_fftMag_mfcc_sma_de[11];pcm_fftMag_mfcc_sma_de[12];pcm_fftMag_mfcc_sma_de[13];pcm_fftMag_mfcc_sma_de[14];pcm_fftMag_mfcc_sma_de[15];pcm_fftMag_mfcc_sma_de[16];pcm_fftMag_mfcc_sma_de[1];pcm_fftMag_mfcc_sma_de[2];pcm_fftMag_mfcc_sma_de[3];pcm_fftMag_mfcc_sma_de[4];pcm_fftMag_mfcc_sma_de[5];pcm_fftMag_mfcc_sma_de[6];pcm_fftMag_mfcc_sma_de[7];pcm_fftMag_mfcc_sma_de[8];pcm_fftMag_mfcc_sma_de[9];pcm_fftMag_psySharpness_sma;pcm_fftMag_psySharpness_sma_de;pcm_fftMag_spectralEntropy_sma;pcm_fftMag_spectralEntropy_sma_de;pcm_fftMag_spectralFlatness_sma;pcm_fftMag_spectralFlatness_sma_de;pcm_fftMag_spectralFlux_sma;pcm_fftMag_spectralFlux_sma_de;pcm_fftMag_spectralHarmonicity_sma;pcm_fftMag_spectralHarmonicity_sma_de;pcm_fftMag_spectralKurtosis_sma;pcm_fftMag_spectralKurtosis_sma_de;pcm_fftMag_spectralRollOff25.0_sma;pcm_fftMag_spectralRollOff25.0_sma_de;pcm_fftMag_spectralRollOff50.0_sma;pcm_fftMag_spectralRollOff50.0_sma_de;pcm_fftMag_spectralRollOff75.0_sma;pcm_fftMag_spectralRollOff75.0_sma_de;pcm_fftMag_spectralRollOff90.0_sma;pcm_fftMag_spectralRollOff90.0_sma_de;pcm_fftMag_spectralSkewness_sma;pcm_fftMag_spectralSkewness_sma_de;pcm_fftMag_spectralVariance_sma;pcm_fftMag_spectralVariance_sma_de;pcm_zcr_sma;pcm_zcr_sma_de;shimmerLocal_sma;shimmerLocal_sma_de;voicingFinalUnclipped_sma;voicingFinalUnclipped_sma_de
'IITM_HMM_02519_0_i.wav';0.0;110.58146666666666;0.3784345;0.4481738333333333;-0.012468574666666668;0.0;0.0;0.0;0.0;9.188523333333334;-0.0027368706666666665;0.0020237873333333336;-0.00019646983333333336;0.32079060000000004;-0.05128792333333334;6.737185666666666;-22.209233333333334;12.075060666666667;0.6540966666666659;-11.446973999999999;-4.471069666666667;-13.240946666666668;28.518069999999998;18.413136666666666;46.80810666666667;-37.60353333333334;-37.69553666666667;-13.580756666666666;-39.80946666666667;-39.72556;-5.526924000000001;1.3915383333333333;-0.30371232333333337;-5.983872333333334;-6.344116;-6.337070333333333;-6.170381333333334;-3.3763729999999996;0.31797353333333334;-2.131436666666666;-2.1615800000000003;-0.4254568666666667;-2.1687093333333336;-0.8551474;1.1648648900000003;1.1906883333333333;-0.6800534000000001;0.42695679999999997;-0.0074395333;2.2824033333333333;0.10345032666666666;0.0004887589666666667;4.8577053333333334e-05;0.18492182333333332;0.04269303;0.17205586666666664;-0.02202757466666667;153.78536666666665;-13.592888000000002;364.5833333333333;-23.958332;406.25;-1.7361076666666666;420.1389;12.500002;437.5;12.847226666666666;11.1843;-0.7226621666666667;48777.73;4479.901999999999;0.05138888666666667;-0.0014166665;0.0;0.0;0.7467164333333334;0.0011795431333333332
'IITM_HMM_02519_1_nB.wav';0.0;238.13232;0.303601608;0.87850932;0.04133445;0.006821323999999999;1.9678274e-05;0.0064095502;3.7884029999999994e-05;17.35882;0.2943274;0.0018264463999999997;0.00027355170999999995;12.3421786;2.4152299999999993;-28.621154;-26.371288;-25.241754;-23.406968;-19.660856000000003;-15.873866000000001;-10.912011399999999;36.036504;30.379406;23.107926;9.937927400000001;-7.747389200000001;-20.655594;-28.984075999999998;-32.552078;-32.535849999999996;-2.4071122000000003;-1.99167394;-1.03740648;-0.19014614000000002;0.52607984;1.0836396000000001;1.15021468;-0.08539948399999997;0.012458299999999967;0.13300773999999999;0.35844138799999997;0.515915076;0.12348486;-0.70059426;-1.3580837999999997;-2.0010280000000003;0.25783838;0.00177860662;1.5531366;-0.02014580596;0.00011262507599999998;-2.36947227e-05;0.8116103600000001;-0.02486588;10.345842999999999;1.37895876;9327.7638;589.05122;218.75;0.0;231.25;5.8333332;250.0;0.0;252.08334;1.666665;62.564584;2.04510982;1651.443;-163.48225800000003;0.029500001999999997;-0.00011666667;0.127786852;-0.0029637496;0.80619502;0.00031496158
'IITM_HMM_02519_2_l.wav';0.0;199.3281;0.0;0.2806483;0.00247176;0.0;0.0;0.0;0.0;13.944070000000002;0.0;6.0590075000000006e-05;5.0941225e-06;0.047938665;0.005693732999999999;-25.82735;-9.684667000000001;7.296782;-12.663709999999998;-11.75145;-1.23741025;-16.65111;38.844350000000006;29.831709999999998;41.524879999999996;9.181962500000001;-2.3946335000000003;-18.283739999999998;-30.9592;-13.72636;-19.582685;-0.010162999999999991;1.2916455;3.5113005;1.4119825000000001;0.93342;2.640275;0.4722484;0.10083522500000001;-0.5139162;2.031726;-1.5527680000000001;-0.15243231999999998;-3.7273319999999996;-2.5954230000000003;2.3064155;0.29560585;0.23741779999999998;0.008600563;1.831507;0.13798125;9.118487500000001e-05;3.2078924999999997e-06;0.07984036;0.01275931;0.14086695;-0.0077698485;1434.5405;-376.70275000000004;187.5;0.0;208.3333;1.041667;218.75;18.22917;260.4167;39.583325;19.51974;-3.573974;4500.081;1567.1475;0.025;8.333325000000001e-05;0.0;0.0;0.807271;0.0
'IITM_HMM_02519_3_A.wav';0.0;186.2093;0.0;0.47872185;0.014235175;0.0;0.0;0.0;0.0;15.457720000000002;0.0;0.001691181;0.00025362240000000003;0.063208505;-0.0025254729;-9.972335999999999;-20.437855;-1.288895;-23.364669999999997;-16.5212;5.6396815;-7.888816;40.97746;-4.867278499999999;26.212400000000002;-23.01545;-22.75231;-26.57231;6.626260500000001;15.27082;-3.9465419999999996;-0.7074942500000001;-0.2429039;0.57439475;0.46939060000000005;1.67172;-0.68740275;1.0356264;0.7085386;-1.01317385;-0.12658374;1.5312459999999999;3.877162;0.9563747499999999;0.8146696499999999;-0.081572965;0.9972238;0.4223199;-0.015203644;3.368399;-0.04138821;0.0010521445;-6.0307255e-05;0.06978152;0.01645182;0.05813628;0.005009698;42.931955;-1.7307543499999998;187.5;0.0;348.95835;-37.5;578.125;-26.041659999999997;614.58335;7.8125035;4.4524555;-0.04988489;78416.20999999999;1556.2586500000002;0.060416670000000006;-0.008583338;0.0;0.0;0.8147569;0.0
'IITM_HMM_02519_4_g.wav';0.0;157.1691;0.0;0.12398435;-0.012820215;0.0;0.0;0.0;0.0;15.65835;0.0;1.0500268000000001e-05;-2.8783515e-06;0.001480056;-0.00036891319999999997;-6.477087;-13.80512;-1.39978875;-8.863199;-10.811021;-0.6910399;-6.3046109999999995;43.851105000000004;28.23095;26.353425;10.2276305;5.247656;-8.0189545;-6.727072;11.386225;6.085151;1.06946325;1.8828165000000001;-1.7586264999999999;-0.26522085;2.1117935;-0.19565435;1.4111375000000002;-0.44296915;1.0778639;-0.292442615;2.2517065;1.4492725;1.9684525;2.0875209999999997;-0.7332922999999999;0.07831416;0.1853254;-0.005454613;1.7974649999999999;-0.034744065000000005;0.00015671555;-6.900390000000001e-06;0.022018839999999998;0.0050113135;0.013079645;-0.0028265835;1815.1825000000001;505.23260000000005;151.04165;-6.770833;156.25;0.0;182.29165;-6.770833;187.5;0.0;23.475695;3.4768165;4108.0295;-444.94804999999997;0.01875;-0.00037499965;0.0;0.0;0.7573043500000001;0.0
'IITM_HMM_02519_5_bh.wav';0.0;0.0;0.0;0.10636294;0.016966075562857143;0.0;0.0;0.0;0.0;-100.0;0.0;5.463941471428572e-05;4.1585249028571435e-05;0.00018140856714285713;6.022675957142857e-05;-1.2548853285714288;-14.01719785714286;-9.295411285714286;-2.9539420999999995;-5.4077754;-5.774874571428572;-3.014242;32.108537142857145;17.656340142857147;21.562755714285714;15.854747857142858;21.706644285714287;10.880169285714286;0.9144863428571429;5.744877714285715;-0.007499857142857026;-0.8040695714285716;-2.2467623428571426;1.2374721999999998;0.9132926857142856;-1.055339062857143;-0.7263647599999999;-0.5827402757142857;-0.5228801571428571;-3.9644665714285714;-2.4827119285714287;-2.5888016285714284;1.5834852857142858;0.555069;-0.15521010000000007;3.3329285714285715;1.7867456999999998;0.19344477142857142;0.00433806586142857;2.368368142857143;0.11494740714285714;0.003459132347142857;0.0003931689285714286;0.05060373614285714;0.01772618;0.004546927314285714;0.002293238642857143;3806.9175328571428;-1315.1203999999998;122.02381428571428;-3.27381057142857;147.32142857142858;-2.85714285500457e-07;174.10714285714286;1.2688263138573217e-16;351.19047142857147;22.76784857142857;32.88604471428571;-7.336536714285715;74351.86442857143;9838.46085714286;0.03857143142857143;0.003916667285714286;0.0;0.0;0.6895204857142857;-0.0022469291714285714
'IITM_HMM_02519_6_A.wav';0.0;171.76917500000002;-1.008146525;0.4587055;-0.011817596875;0.0;0.0;0.0;0.0;21.2507;0.10851227749999999;0.0021250775;-0.000160492675;0.025874342499999998;-0.0023599197500000003;-16.301827499999998;-27.281745;-4.850967375000001;-10.985635;-13.13894;-1.73952155;-2.7842386424999996;45.1263725;0.5927840750000002;11.56494425;-3.854635;7.619948;-10.477138;-9.761113;11.3517145;4.737836499999999;0.7206742749999999;2.2776294999999998;2.66270525;0.329865525;1.530895825;1.447569;1.063286025;0.42991655;-0.5528341250000001;1.522871275;-0.912979275;0.783263325;0.6414922074999999;2.14779225;2.1399457749999997;0.353216425;0.260583725;-0.0011670215;2.4540810000000004;0.0750042475;0.000648335325;2.5576310000000002e-05;0.09712117499999999;0.015726940325;0.0871189075;-0.019601752500000003;79.8638575;-7.258645;171.875;-6.770833;187.5;-1.82291675;210.9375;-5.98958325;382.812475;34.8958325;6.22667475;-0.32945214750000007;37350.365;2299.2425000000003;0.025;-0.0010208330625;0.019470785;0.0;0.7730715250000001;-0.0004298776475
'IITM_HMM_02519_7_g.wav';0.0;62.38472857142857;0.0061688914285714285;0.08111639714285714;-0.008965843;0.0009247077142857143;0.0;0.0011062871428571429;0.0;-49.69173285714286;-3.0966316999999997;2.978582e-06;-1.2557794142857142e-07;0.0008338303799999999;-0.00030315609142857143;1.6901081;-3.451810257142857;-1.7176196285714285;-4.65018204857143;-3.4954081714285716;-4.046190628571429;-5.988215714285714;36.81881;27.793565714285712;23.91184285714286;18.082484285714287;8.316034;-6.7736282;-3.3508643142857144;2.4607314285714286;5.106385114285714;-0.2685262271428571;-0.05590494000000003;-1.6552756;-1.7230419;0.894106180142857;0.6133750571428571;0.21542104857142855;-3.101076857142857;-2.336657028571428;-0.49374742857142856;0.37702048571428576;0.61750564;-0.4095302142857142;0.04603988000000002;-1.3731979142857145;-1.6305554714285715;0.18933000000000003;0.007511063228571429;2.2403132857142856;0.14405390257142855;0.0035120373757142856;0.0009915149957142857;0.03596791428571428;0.0006144471428571432;0.004285592457142857;-0.0014667249428571433;1792.6378428571427;-88.61287000000002;127.97619999999999;2.232142714285714;159.2262;1.1904765714285712;172.61905714285714;5.654762142857143;232.14285714285714;16.36904842857143;23.586692857142857;0.19113685714285747;48693.09857142857;13623.119792857144;0.027261904285714282;0.0029166665857142853;0.12041374285714286;-0.0015684140000000002;0.6948251000000001;-0.0033755992871428576
'IITM_HMM_02519_8_e.wav';0.0;132.36739230769234;0.43351535307692307;0.3724855846153846;-0.008705490923076924;0.008339205384615385;-1.193270769230769e-06;0.005917286230769231;3.055912307692307e-05;-29.282113076923075;-0.36797004615384615;0.004442697430769231;-6.207562692307689e-05;0.08192989346153846;-0.0021043180769230777;8.479906153846153;-27.093793846153844;7.371360384615386;-6.441268292307692;-15.002014076923079;-7.945786384615384;-6.567575;24.0088;12.928261384615384;52.44119538461538;-37.728900769230776;-35.04513923076923;-8.814677376923077;-32.75149076923076;-33.26045692307692;0.12190836153846167;-0.4068535753846154;-0.3609277076923076;0.34874951;-0.5404231361538462;-1.094747846153846;-0.22274166615384627;-0.27427139769230774;0.38829036923076915;0.7165922538461539;-0.2073984530769231;1.6360402846153845;0.15396757692307678;0.214647143923077;-0.39386184615384623;-0.833510256923077;-0.2324365007692308;0.4520614923076923;-0.009525021738461538;2.956917153846154;-0.031675003846153856;0.0019102669230769227;-0.00027692353384615385;0.13042223000000003;0.0011697112076923082;0.050040211615384605;-0.0010568413076923083;38.19086153846154;15.889003615384617;269.2307615384616;-4.967948692307693;379.00641538461537;-11.378204153846154;412.6602615384615;-8.974358923076922;639.4231076923077;11.778842999999998;4.812385230769232;0.5110929;353448.3846153846;-15251.338923076924;0.07403846153846155;-0.0038974366153846154;0.15662318846153844;-0.004071745638461539;0.7570056076923076;-0.0005576362884615385
'IITM_HMM_02519_10_v.wav';0.0;190.84678333333338;0.26921933833333334;0.18845686666666664;0.031249351666666664;0.007599592;-5.3130933333333337e-05;0.015953458333333333;-0.00030890253333333334;14.588553500000002;0.37269981666666663;8.6429125e-05;0.00010111630316666667;0.0067272956666666675;0.006757742616666666;1.6080845000000001;-9.312306999999999;-14.099871666666665;-16.644569999999998;-11.687371666666666;-6.2351245;-7.142073666666666;45.25808166666667;27.48654666666667;14.041763833333334;6.552988499999999;7.753420833333333;-4.613830166666667;-20.681771666666666;-14.071665833333332;-3.0548109999999995;1.5726421166666664;-0.7870040833333333;-0.8107559666666666;0.4179318166666666;-0.015922451333333334;0.3671049366666666;0.4900423354999999;1.1460164833333333;-0.9357826666666668;-1.1326555;-1.1978914166666668;0.2109798833333333;-0.3015128;-1.4504129666666667;-0.8103581666666666;2.192155883333333;0.21906913333333333;0.0062763194999999996;1.8767093333333333;0.050448161666666665;0.00016683823333333333;-1.785307e-05;0.06311022166666667;0.007298551666666667;0.04783535833333333;0.015039684000000003;1583.0278333333333;-153.71934966666666;182.29165;0.3472223333333333;187.5;1.2152778333333334;204.86111666666667;7.812499833333334;234.375;19.79166783333333;21.533231666666666;-2.285663733333333;5223.544333333334;1554.1962;0.02958333166666666;-0.0038749999583333333;0.45855913000000004;-0.026863666999999997;0.8025262833333334;0.0008771483166666666
